Date,Open,High,Low,Close,Adj Close,Volume
1989-12-25,1.070313,1.082031,1.062500,1.078125,0.716049,23689600
1990-01-01,1.078125,1.132813,1.062500,1.109375,0.736804,228857600
1990-01-08,1.117188,1.171875,1.093750,1.101563,0.731615,350361600
1990-01-15,1.101563,1.203125,1.085938,1.183594,0.786097,375510400
1990-01-22,1.179688,1.242188,1.109375,1.210938,0.804258,426000000
1990-01-29,1.218750,1.250000,1.164063,1.234375,0.819824,337840000
1990-02-05,1.218750,1.296875,1.210938,1.257813,0.835391,284083200
1990-02-12,1.257813,1.273438,1.210938,1.250000,0.830202,226432000
1990-02-19,1.226563,1.238281,1.187500,1.203125,0.799070,179472000
1990-02-26,1.203125,1.281250,1.195313,1.273438,0.845768,272611200
1990-03-05,1.265625,1.281250,1.210938,1.265625,0.840579,256998400
1990-03-12,1.257813,1.343750,1.210938,1.320313,0.876901,451488000
1990-03-19,1.312500,1.367188,1.296875,1.328125,0.882090,300489600
1990-03-26,1.328125,1.343750,1.304688,1.304688,0.866523,195241600
1990-04-02,1.289063,1.343750,1.273438,1.292969,0.858740,256332800
1990-04-09,1.289063,1.375000,1.281250,1.328125,0.882090,268816000
1990-04-16,1.335938,1.343750,1.242188,1.250000,0.830202,339363200
1990-04-23,1.250000,1.257813,1.210938,1.230469,0.817230,196716800
1990-04-30,1.226563,1.328125,1.210938,1.320313,0.876901,274099200
1990-05-07,1.328125,1.410156,1.320313,1.406250,0.933977,362982400
1990-05-14,1.406250,1.417969,1.367188,1.410156,0.936572,407315200
1990-05-21,1.414063,1.523438,1.390625,1.484375,0.985865,440515200
1990-05-28,1.484375,1.539063,1.476563,1.484375,0.985865,209331200
1990-06-04,1.484375,1.523438,1.429688,1.453125,0.965109,252508800
1990-06-11,1.437500,1.523438,1.437500,1.507813,1.001431,241456000
1990-06-18,1.500000,1.500000,1.437500,1.437500,0.954732,147878400
1990-06-25,1.437500,1.496094,1.406250,1.468750,0.975487,204860800
1990-07-02,1.468750,1.496094,1.453125,1.460938,0.970298,152588800
1990-07-09,1.468750,1.597656,1.437500,1.562500,1.037752,296224000
1990-07-16,1.562500,1.625000,1.398438,1.410156,0.936572,408067200
1990-07-23,1.406250,1.414063,1.226563,1.359375,0.902845,480633600
1990-07-30,1.343750,1.390625,1.140625,1.226563,0.814636,431459200
1990-08-06,1.156250,1.242188,1.125000,1.195313,0.793881,444240000
1990-08-13,1.187500,1.234375,1.039063,1.070313,0.710860,367801600
1990-08-20,1.062500,1.125000,0.953125,1.125000,0.747182,465296000
